Flight_ID,Date,Day_of_Week,Airline,Origin_Airport,Destination_Airport,Aircraft_Type,Flight_Status,Time_of_Day,Flight_Delay_Mins,Aircraft_Age_Years
49,15/8/2013,Friday,United Airlines,ATL,JFK,Airbus A380,On-time,Night,0,20
50,17/11/2012,Friday,Southwest Airlines,MIA,JFK,Boeing 777,On-time,Night,0,20
51,15/8/2013,Tuesday,JetBlue Airways,DFW,DFW,Boeing 777,Delayed,Morning,169,3
52,16/7/2012,Sunday,Delta Airlines,SFO,EWR,Airbus A320,Delayed,Night,121,28
53,10/5/2015,Tuesday,Southwest Airlines,DEN,DEN,Boeing 777,Delayed,Morning,135,9
54,21/6/2014,Thursday,Southwest Airlines,ORD,DFW,Airbus A380,On-time,Morning,0,20
55,11/4/2013,Monday,JetBlue Airways,LGA,DFW,Airbus A380,On-time,Morning,0,2
56,9/3/2015,Wednesday,Delta Airlines,DEN,JFK,Embraer E175,On-time,Night,0,27
57,28/2/2014,Tuesday,United Airlines,LAX,JFK,Airbus A320,On-time,Morning,0,17
58,17/2/2015,Saturday,JetBlue Airways,DEN,LGA,Boeing 737,On-time,Afternoon,0,28
59,8/10/2012,Tuesday,Southwest Airlines,DFW,LGA,Embraer E175,Delayed,Afternoon,75,1
60,21/1/2011,Monday,Southwest Airlines,LAX,ATL,Boeing 777,On-time,Afternoon,0,24
61,20/4/2013,Monday,American Airlines,DEN,SFO,Airbus A320,On-time,Afternoon,0,29
62,16/6/2011,Friday,Delta Airlines,LGA,DFW,Embraer E175,On-time,Morning,0,29
63,21/7/2014,Wednesday,American Airlines,SFO,LGA,Airbus A380,On-time,Evening,0,17
64,23/1/2012,Monday,United Airlines,ORD,ATL,Airbus A320,On-time,Night,0,5
65,23/8/2012,Sunday,JetBlue Airways,DFW,ATL,Airbus A320,Delayed,Night,15,13
66,12/11/2011,Tuesday,Southwest Airlines,MIA,DEN,Boeing 777,Delayed,Evening,4,29
67,14/1/2011,Tuesday,Delta Airlines,JFK,SFO,Airbus A320,On-time,Evening,0,8
68,30/8/2011,Thursday,Southwest Airlines,EWR,DEN,Airbus A320,Delayed,Night,66,7
69,15/2/2013,Monday,American Airlines,MIA,LGA,Boeing 737,On-time,Night,0,23
70,1/10/2014,Saturday,American Airlines,ATL,LAX,Boeing 777,On-time,Evening,0,14
71,18/7/2012,Friday,JetBlue Airways,DFW,LGA,Airbus A320,On-time,Afternoon,0,8
72,16/6/2013,Wednesday,Delta Airlines,JFK,ORD,Airbus A320,On-time,Morning,0,11
73,25/9/2014,Saturday,Delta Airlines,SFO,LAX,Boeing 737,Delayed,Night,28,3
74,2/4/2011,Friday,JetBlue Airways,ATL,DFW,Boeing 737,On-time,Night,0,5
75,22/10/2014,Tuesday,American Airlines,EWR,LGA,Airbus A380,On-time,Night,0,18
76,13/8/2013,Saturday,American Airlines,DFW,SFO,Boeing 777,Delayed,Afternoon,178,5
77,18/1/2015,Friday,American Airlines,MIA,ATL,Boeing 737,On-time,Afternoon,0,13
78,22/12/2014,Tuesday,Southwest Airlines,DEN,JFK,Airbus A320,On-time,Night,0,5
79,23/5/2012,Tuesday,United Airlines,MIA,EWR,Boeing 737,On-time,Afternoon,0,2
80,14/2/2013,Tuesday,American Airlines,MIA,LAX,Embraer E175,On-time,Night,0,26
81,4/2/2011,Tuesday,United Airlines,EWR,EWR,Airbus A380,On-time,Morning,0,13
82,25/7/2011,Sunday,United Airlines,DFW,ORD,Airbus A380,Delayed,Afternoon,6,28
83,9/1/2014,Tuesday,Delta Airlines,DFW,ORD,Boeing 777,On-time,Morning,0,6
84,5/5/2015,Thursday,JetBlue Airways,LAX,MIA,Airbus A380,On-time,Evening,0,17
85,12/11/2014,Saturday,Southwest Airlines,MIA,DFW,Boeing 777,On-time,Night,0,8
86,22/10/2013,Friday,United Airlines,SFO,SFO,Embraer E175,On-time,Afternoon,0,27
87,18/10/2013,Thursday,Southwest Airlines,JFK,MIA,Airbus A320,Delayed,Morning,84,17
88,14/11/2014,Sunday,Delta Airlines,JFK,SFO,Embraer E175,Delayed,Afternoon,16,19
89,19/7/2012,Thursday,American Airlines,ATL,DFW,Boeing 777,On-time,Evening,0,15
90,3/2/2014,Monday,United Airlines,EWR,JFK,Boeing 777,On-time,Morning,0,1
91,1/12/2015,Monday,JetBlue Airways,MIA,EWR,Boeing 777,Delayed,Evening,48,18
92,9/2/2015,Monday,Delta Airlines,SFO,ATL,Airbus A320,On-time,Evening,0,7
93,3/12/2012,Wednesday,Southwest Airlines,ATL,MIA,Boeing 777,On-time,Morning,0,7
94,6/2/2012,Monday,American Airlines,DFW,ORD,Embraer E175,On-time,Afternoon,0,29
95,30/12/2012,Friday,Southwest Airlines,JFK,ORD,Airbus A320,On-time,Morning,0,16
96,29/4/2015,Thursday,JetBlue Airways,LGA,ATL,Embraer E175,On-time,Evening,0,11
97,11/6/2011,Friday,United Airlines,LAX,ORD,Airbus A320,On-time,Night,0,5
98,21/7/2011,Saturday,JetBlue Airways,SFO,SFO,Boeing 777,On-time,Morning,0,21
99,22/9/2013,Monday,Southwest Airlines,ATL,JFK,Airbus A320,On-time,Night,0,14
100,27/9/2011,Sunday,Southwest Airlines,ATL,JFK,Boeing 737,On-time,Afternoon,0,23
101,26/3/2013,Wednesday,JetBlue Airways,SFO,SFO,Embraer E175,On-time,Morning,0,26
102,18/7/2014,Saturday,JetBlue Airways,DEN,DEN,Boeing 737,Delayed,Night,156,27
103,31/3/2012,Sunday,JetBlue Airways,LGA,SFO,Boeing 737,Delayed,Evening,136,28
104,25/1/2015,Wednesday,American Airlines,DFW,DFW,Boeing 777,On-time,Afternoon,0,10
105,17/10/2015,Saturday,Southwest Airlines,JFK,MIA,Boeing 777,On-time,Night,0,5
106,29/6/2014,Thursday,Delta Airlines,MIA,ORD,Boeing 737,Delayed,Afternoon,165,24
107,13/10/2013,Friday,American Airlines,SFO,SFO,Airbus A320,On-time,Morning,0,19
108,22/9/2015,Tuesday,American Airlines,EWR,LGA,Boeing 777,Delayed,Night,14,18
109,23/10/2011,Friday,American Airlines,LGA,LAX,Embraer E175,Delayed,Morning,157,26
110,15/10/2015,Monday,Delta Airlines,LAX,LGA,Boeing 737,On-time,Morning,0,4
111,20/12/2012,Sunday,JetBlue Airways,LAX,ORD,Embraer E175,On-time,Evening,0,23
112,8/11/2015,Tuesday,Southwest Airlines,EWR,JFK,Embraer E175,Delayed,Night,75,9
113,4/12/2011,Wednesday,United Airlines,LGA,DFW,Embraer E175,On-time,Night,0,19
114,28/5/2013,Thursday,United Airlines,ATL,DFW,Boeing 737,On-time,Night,0,11
115,12/12/2013,Thursday,Southwest Airlines,LAX,DFW,Airbus A380,On-time,Afternoon,0,3
116,2/3/2013,Wednesday,Delta Airlines,ATL,LAX,Boeing 777,On-time,Afternoon,0,11
117,5/8/2011,Monday,United Airlines,DEN,DEN,Embraer E175,Delayed,Afternoon,167,7
118,2/2/2013,Wednesday,American Airlines,LGA,ATL,Boeing 737,On-time,Afternoon,0,17
119,7/7/2011,Saturday,United Airlines,SFO,LGA,Airbus A380,On-time,Night,0,23
120,15/1/2012,Sunday,Southwest Airlines,MIA,ATL,Boeing 737,Delayed,Night,153,18
121,7/5/2012,Sunday,American Airlines,JFK,MIA,Boeing 777,Delayed,Afternoon,100,26
122,30/11/2013,Monday,United Airlines,DEN,SFO,Boeing 737,Delayed,Evening,80,15
123,26/3/2014,Tuesday,Southwest Airlines,ATL,MIA,Airbus A320,On-time,Night,0,17
124,15/1/2011,Wednesday,Delta Airlines,LGA,JFK,Airbus A320,Delayed,Afternoon,134,26
125,6/3/2011,Monday,Southwest Airlines,DEN,LGA,Embraer E175,On-time,Morning,0,25
126,4/6/2012,Sunday,Delta Airlines,ATL,MIA,Boeing 737,Delayed,Evening,159,17
127,29/9/2014,Tuesday,American Airlines,MIA,DEN,Boeing 737,On-time,Night,0,24
128,26/2/2014,Wednesday,Southwest Airlines,MIA,ATL,Embraer E175,Delayed,Evening,8,10
129,9/10/2012,Thursday,JetBlue Airways,EWR,SFO,Embraer E175,On-time,Afternoon,0,15
130,4/2/2015,Wednesday,JetBlue Airways,DFW,ORD,Airbus A380,On-time,Morning,0,23
131,22/12/2013,Friday,JetBlue Airways,LAX,DEN,Boeing 737,On-time,Morning,0,16
132,8/3/2014,Wednesday,JetBlue Airways,MIA,JFK,Boeing 777,Delayed,Afternoon,148,15
133,3/3/2015,Friday,JetBlue Airways,ORD,SFO,Boeing 777,Delayed,Evening,125,26
134,15/8/2012,Tuesday,Delta Airlines,MIA,SFO,Boeing 777,On-time,Night,0,9
135,27/1/2012,Wednesday,Southwest Airlines,DEN,EWR,Embraer E175,On-time,Afternoon,0,28
136,26/8/2015,Tuesday,American Airlines,JFK,JFK,Embraer E175,Delayed,Evening,127,21
137,23/2/2012,Tuesday,JetBlue Airways,LGA,DEN,Embraer E175,On-time,Afternoon,0,19
138,16/10/2011,Sunday,JetBlue Airways,DEN,DEN,Boeing 777,On-time,Morning,0,1
139,14/1/2012,Monday,American Airlines,DFW,SFO,Airbus A380,Delayed,Night,168,2
140,2/12/2015,Tuesday,American Airlines,MIA,ORD,Airbus A320,On-time,Afternoon,0,6
141,22/2/2015,Tuesday,JetBlue Airways,SFO,SFO,Boeing 737,On-time,Morning,0,24
142,19/8/2011,Sunday,Delta Airlines,LGA,MIA,Airbus A320,On-time,Afternoon,0,9
143,14/10/2013,Sunday,American Airlines,DEN,SFO,Boeing 737,Delayed,Morning,42,24
144,10/2/2011,Wednesday,Southwest Airlines,ORD,LAX,Embraer E175,On-time,Morning,0,18
145,17/11/2013,Sunday,Southwest Airlines,JFK,ATL,Boeing 777,On-time,Night,0,1
146,15/5/2011,Wednesday,Delta Airlines,LAX,ORD,Airbus A320,On-time,Morning,0,10
147,20/7/2011,Thursday,United Airlines,LGA,ORD,Embraer E175,On-time,Night,0,4
148,18/2/2013,Sunday,Delta Airlines,DFW,MIA,Boeing 737,On-time,Night,0,14
149,18/7/2013,Monday,JetBlue Airways,SFO,LGA,Airbus A320,On-time,Morning,0,21
150,22/11/2013,Tuesday,United Airlines,ORD,LAX,Airbus A320,On-time,Morning,0,26
151,7/12/2013,Monday,JetBlue Airways,LAX,SFO,Airbus A320,On-time,Night,0,6
152,17/5/2012,Friday,Southwest Airlines,ATL,DFW,Airbus A320,On-time,Afternoon,0,20
153,11/2/2012,Sunday,American Airlines,JFK,SFO,Airbus A320,On-time,Afternoon,0,5
154,17/5/2015,Tuesday,JetBlue Airways,LAX,ORD,Embraer E175,Delayed,Afternoon,106,15
155,18/10/2015,Monday,Southwest Airlines,MIA,DFW,Boeing 737,On-time,Evening,0,24
156,15/3/2013,Sunday,Delta Airlines,EWR,SFO,Boeing 737,Delayed,Morning,91,10
157,9/4/2011,Sunday,JetBlue Airways,SFO,LAX,Airbus A380,Delayed,Night,157,3
158,14/11/2012,Thursday,Southwest Airlines,ORD,SFO,Boeing 777,On-time,Evening,0,17
159,26/12/2012,Thursday,American Airlines,LAX,EWR,Airbus A320,On-time,Morning,0,9
160,20/4/2015,Tuesday,JetBlue Airways,EWR,DEN,Boeing 737,On-time,Night,0,9
161,18/8/2013,Friday,Southwest Airlines,LAX,EWR,Boeing 777,On-time,Morning,0,15
162,29/10/2015,Thursday,JetBlue Airways,DEN,EWR,Boeing 777,On-time,Afternoon,0,18
163,4/9/2012,Thursday,American Airlines,ATL,EWR,Embraer E175,On-time,Evening,0,3
164,25/1/2015,Friday,JetBlue Airways,JFK,SFO,Airbus A320,Delayed,Night,49,8
165,4/10/2012,Monday,JetBlue Airways,ATL,MIA,Airbus A380,Delayed,Morning,42,3
166,28/11/2015,Thursday,Southwest Airlines,DEN,EWR,Boeing 777,On-time,Night,0,19
167,25/10/2013,Wednesday,United Airlines,LAX,ORD,Embraer E175,On-time,Night,0,22
168,26/5/2014,Saturday,JetBlue Airways,LGA,LAX,Airbus A320,On-time,Night,0,13
169,17/5/2012,Saturday,United Airlines,EWR,LGA,Boeing 737,On-time,Afternoon,0,22
170,5/2/2013,Thursday,Delta Airlines,SFO,EWR,Airbus A380,On-time,Night,0,16
171,2/2/2012,Monday,JetBlue Airways,DFW,ATL,Airbus A320,On-time,Evening,0,7
172,20/5/2013,Sunday,United Airlines,EWR,MIA,Embraer E175,Delayed,Evening,148,26
173,5/3/2013,Monday,Delta Airlines,ATL,LAX,Embraer E175,On-time,Morning,0,20
174,28/1/2012,Tuesday,Southwest Airlines,EWR,ATL,Embraer E175,On-time,Morning,0,5
175,26/7/2011,Wednesday,JetBlue Airways,MIA,JFK,Embraer E175,Delayed,Night,22,26
176,4/11/2013,Monday,Southwest Airlines,LAX,LAX,Embraer E175,On-time,Afternoon,0,19
177,27/4/2015,Friday,Delta Airlines,DEN,MIA,Airbus A380,On-time,Evening,0,2
178,10/6/2013,Wednesday,Southwest Airlines,EWR,EWR,Boeing 777,On-time,Night,0,3
179,24/1/2015,Saturday,Southwest Airlines,EWR,LGA,Boeing 777,On-time,Evening,0,28
180,11/9/2015,Wednesday,American Airlines,DEN,DFW,Boeing 737,Delayed,Morning,15,3
181,18/5/2015,Friday,Delta Airlines,MIA,MIA,Boeing 777,On-time,Afternoon,0,29
182,13/5/2013,Thursday,Southwest Airlines,MIA,SFO,Embraer E175,On-time,Evening,0,2
183,12/1/2013,Friday,United Airlines,DFW,JFK,Boeing 777,On-time,Morning,0,16
184,18/6/2014,Friday,Delta Airlines,DFW,DFW,Boeing 777,Delayed,Evening,24,17
185,17/7/2012,Thursday,American Airlines,MIA,JFK,Embraer E175,On-time,Night,0,27
186,17/10/2013,Thursday,JetBlue Airways,LGA,ATL,Airbus A380,Delayed,Evening,44,16
187,6/4/2011,Thursday,Southwest Airlines,DFW,JFK,Embraer E175,On-time,Evening,0,16
188,24/10/2015,Thursday,United Airlines,MIA,EWR,Boeing 777,On-time,Night,0,19
189,29/4/2012,Thursday,American Airlines,MIA,DEN,Boeing 777,On-time,Afternoon,0,17
190,1/12/2014,Friday,Delta Airlines,EWR,LAX,Boeing 737,Delayed,Afternoon,4,24
191,19/8/2011,Tuesday,Southwest Airlines,DFW,JFK,Embraer E175,On-time,Night,0,5
192,18/1/2013,Tuesday,American Airlines,LAX,JFK,Boeing 737,On-time,Afternoon,0,12
193,6/8/2015,Monday,American Airlines,DEN,DEN,Boeing 737,On-time,Afternoon,0,22
194,9/4/2014,Tuesday,United Airlines,DEN,DEN,Airbus A320,On-time,Night,0,12
195,24/6/2012,Saturday,JetBlue Airways,ORD,LAX,Boeing 737,On-time,Evening,0,29
196,25/11/2013,Tuesday,JetBlue Airways,EWR,LAX,Boeing 777,On-time,Afternoon,0,26
197,8/6/2012,Friday,JetBlue Airways,ORD,MIA,Boeing 777,On-time,Morning,0,7
198,29/3/2014,Thursday,Delta Airlines,ORD,LGA,Airbus A320,On-time,Morning,0,7
199,19/9/2015,Thursday,American Airlines,EWR,LGA,Airbus A320,Delayed,Night,142,4
200,20/6/2014,Sunday,Delta Airlines,LAX,ORD,Embraer E175,Delayed,Morning,5,6
201,14/1/2014,Sunday,American Airlines,LGA,DEN,Airbus A320,On-time,Morning,0,16
202,25/12/2015,Sunday,United Airlines,JFK,DFW,Airbus A380,On-time,Night,0,8
203,31/7/2012,Friday,United Airlines,LGA,DFW,Boeing 777,On-time,Morning,0,6
204,12/11/2012,Saturday,Delta Airlines,DFW,EWR,Boeing 777,On-time,Morning,0,23
205,10/7/2012,Tuesday,Delta Airlines,MIA,LGA,Airbus A320,Delayed,Evening,85,29
206,17/5/2015,Friday,United Airlines,ATL,MIA,Airbus A320,On-time,Night,0,19
207,9/10/2013,Monday,Southwest Airlines,SFO,DFW,Boeing 777,Delayed,Afternoon,158,25
208,7/10/2012,Thursday,JetBlue Airways,EWR,LAX,Airbus A320,On-time,Night,0,10
209,6/3/2013,Sunday,JetBlue Airways,LGA,JFK,Embraer E175,On-time,Morning,0,16
210,17/11/2013,Wednesday,United Airlines,LAX,JFK,Airbus A320,On-time,Morning,0,2
211,2/7/2015,Monday,JetBlue Airways,LGA,LAX,Airbus A320,On-time,Afternoon,0,14
212,29/4/2015,Sunday,Southwest Airlines,DFW,ATL,Embraer E175,Delayed,Afternoon,128,11
213,25/9/2014,Saturday,Southwest Airlines,MIA,ATL,Embraer E175,Delayed,Evening,168,24
214,27/12/2015,Monday,American Airlines,ORD,JFK,Embraer E175,On-time,Morning,0,24
215,16/9/2014,Friday,Delta Airlines,DEN,EWR,Boeing 777,On-time,Morning,0,28
216,22/7/2015,Tuesday,JetBlue Airways,ATL,ORD,Airbus A320,On-time,Morning,0,2
217,10/3/2015,Thursday,Southwest Airlines,LGA,MIA,Embraer E175,On-time,Evening,0,25
218,3/10/2014,Saturday,Delta Airlines,LAX,DFW,Embraer E175,On-time,Night,0,3
219,5/2/2015,Saturday,Delta Airlines,JFK,JFK,Boeing 777,On-time,Afternoon,0,26
220,8/6/2014,Wednesday,American Airlines,LGA,DEN,Airbus A380,On-time,Evening,0,22
221,9/7/2011,Monday,Delta Airlines,LAX,LAX,Airbus A320,Delayed,Evening,117,11
222,2/6/2014,Wednesday,Delta Airlines,ORD,SFO,Airbus A380,On-time,Morning,0,4
223,9/11/2014,Tuesday,United Airlines,LAX,ORD,Airbus A380,On-time,Afternoon,0,14
224,1/11/2014,Sunday,American Airlines,LAX,JFK,Embraer E175,On-time,Night,0,5
225,30/7/2014,Tuesday,American Airlines,MIA,LGA,Boeing 777,Delayed,Morning,73,3
226,24/9/2012,Sunday,JetBlue Airways,MIA,EWR,Airbus A320,Delayed,Evening,86,28
227,19/9/2012,Wednesday,Delta Airlines,LGA,LGA,Airbus A320,Delayed,Evening,47,26
228,30/8/2013,Thursday,JetBlue Airways,SFO,MIA,Airbus A320,On-time,Afternoon,0,8
229,4/11/2015,Tuesday,Southwest Airlines,MIA,DFW,Airbus A380,Delayed,Afternoon,32,10
230,6/7/2014,Wednesday,Delta Airlines,DEN,JFK,Boeing 737,On-time,Afternoon,0,12
231,14/10/2014,Monday,Southwest Airlines,DEN,SFO,Boeing 777,On-time,Morning,0,26
232,10/12/2012,Wednesday,United Airlines,ATL,LGA,Boeing 737,Delayed,Evening,77,8
233,19/1/2015,Wednesday,Delta Airlines,EWR,LAX,Airbus A380,Delayed,Afternoon,104,23
234,5/12/2014,Friday,JetBlue Airways,ORD,DEN,Embraer E175,On-time,Night,0,7
235,10/10/2012,Tuesday,JetBlue Airways,SFO,EWR,Boeing 737,On-time,Afternoon,0,2
236,14/11/2011,Thursday,Delta Airlines,DEN,SFO,Boeing 737,On-time,Afternoon,0,26
237,28/8/2015,Thursday,JetBlue Airways,DFW,DFW,Boeing 777,Delayed,Morning,13,12
238,2/6/2014,Friday,Delta Airlines,DEN,MIA,Airbus A380,Delayed,Morning,163,22
239,11/6/2014,Sunday,American Airlines,LAX,EWR,Boeing 777,On-time,Morning,0,20
240,14/11/2012,Saturday,JetBlue Airways,ORD,EWR,Embraer E175,Delayed,Morning,63,11
241,25/10/2012,Sunday,Delta Airlines,ATL,ATL,Airbus A320,On-time,Afternoon,0,9
242,29/10/2014,Thursday,Delta Airlines,LGA,ATL,Airbus A380,Delayed,Evening,152,5
243,23/8/2015,Wednesday,JetBlue Airways,DEN,MIA,Embraer E175,Delayed,Night,96,6
244,20/6/2015,Friday,American Airlines,EWR,ATL,Embraer E175,On-time,Night,0,7
245,4/2/2015,Monday,JetBlue Airways,ATL,SFO,Boeing 737,On-time,Evening,0,14
246,10/6/2014,Tuesday,Delta Airlines,DEN,SFO,Boeing 777,On-time,Night,0,18
247,12/9/2015,Tuesday,American Airlines,SFO,ORD,Boeing 737,On-time,Afternoon,0,15
248,10/2/2014,Tuesday,Southwest Airlines,SFO,DFW,Boeing 737,Delayed,Evening,136,1
249,1/3/2015,Wednesday,United Airlines,ATL,MIA,Airbus A320,On-time,Morning,0,16
250,17/3/2012,Monday,JetBlue Airways,LGA,DEN,Boeing 777,On-time,Morning,0,15
251,17/7/2012,Friday,Delta Airlines,DFW,SFO,Airbus A320,Delayed,Morning,151,22
252,15/7/2014,Friday,American Airlines,DFW,ORD,Embraer E175,On-time,Afternoon,0,9
253,14/3/2015,Tuesday,American Airlines,DEN,DEN,Airbus A320,On-time,Morning,0,7
254,10/11/2014,Monday,Southwest Airlines,DEN,LGA,Embraer E175,On-time,Morning,0,12
255,11/11/2014,Monday,JetBlue Airways,ATL,MIA,Boeing 737,Delayed,Morning,58,28
256,10/2/2014,Monday,American Airlines,JFK,DEN,Airbus A320,Delayed,Night,55,9
257,25/6/2015,Thursday,Southwest Airlines,LAX,LGA,Boeing 777,On-time,Evening,0,12
258,7/7/2015,Thursday,Delta Airlines,LAX,DEN,Airbus A320,Delayed,Night,59,11
259,9/8/2013,Tuesday,Southwest Airlines,EWR,LGA,Embraer E175,Delayed,Afternoon,22,3
260,9/1/2014,Monday,JetBlue Airways,DEN,EWR,Airbus A380,Delayed,Afternoon,154,13
261,29/11/2012,Saturday,Southwest Airlines,EWR,DFW,Boeing 777,On-time,Afternoon,0,5
262,23/4/2011,Monday,American Airlines,ATL,SFO,Embraer E175,On-time,Night,0,22
263,2/1/2011,Friday,American Airlines,LGA,EWR,Airbus A380,On-time,Evening,0,22
264,3/10/2012,Friday,United Airlines,ORD,ATL,Boeing 777,Delayed,Morning,56,21
265,8/8/2011,Tuesday,Southwest Airlines,ORD,SFO,Airbus A380,On-time,Afternoon,0,18
266,9/5/2015,Saturday,Delta Airlines,DEN,DFW,Boeing 737,On-time,Afternoon,0,11
267,4/5/2013,Monday,JetBlue Airways,DEN,LGA,Boeing 737,On-time,Night,0,26
268,26/10/2015,Sunday,United Airlines,JFK,ATL,Airbus A320,Delayed,Morning,92,3
269,2/6/2014,Saturday,Southwest Airlines,ATL,ATL,Airbus A320,On-time,Morning,0,22
270,20/1/2012,Tuesday,Delta Airlines,LGA,SFO,Airbus A320,Delayed,Night,151,9
271,27/11/2014,Friday,United Airlines,MIA,LGA,Airbus A320,On-time,Night,0,26
272,20/7/2015,Sunday,American Airlines,ATL,JFK,Airbus A380,On-time,Night,0,8
273,27/2/2014,Friday,JetBlue Airways,MIA,LAX,Boeing 777,On-time,Evening,0,24
274,12/12/2013,Thursday,Southwest Airlines,SFO,LAX,Boeing 777,On-time,Afternoon,0,8
275,4/9/2015,Tuesday,Delta Airlines,LAX,JFK,Airbus A320,On-time,Afternoon,0,13
276,30/12/2012,Tuesday,American Airlines,DEN,MIA,Boeing 737,Delayed,Afternoon,154,11
277,23/8/2015,Monday,United Airlines,JFK,DFW,Embraer E175,On-time,Evening,0,6
278,30/9/2015,Monday,JetBlue Airways,DEN,LGA,Airbus A320,On-time,Night,0,13
279,10/12/2014,Thursday,United Airlines,ORD,SFO,Airbus A320,On-time,Afternoon,0,28
280,4/9/2011,Sunday,United Airlines,DEN,DFW,Boeing 737,On-time,Afternoon,0,11
