,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,trans_day,trans_month,trans_year,trans_hour,trans_minute,dob_year,age,distance_km
84,32,12,986.53,28,6,38.7897,-93.8702,2368,47,92,8676,39.42055,-94.27143,1,30,1,2019,0,54,1989,30,78.2253
85,430,11,1041.76,28,6,38.7897,-93.8702,2368,47,92,4682,38.85913,-93.019556,1,30,1,2019,1,27,1989,30,74.0932
86,623,8,857.67,28,6,38.7897,-93.8702,2368,47,92,8932,38.735425,-93.433279,1,30,1,2019,2,51,1989,30,38.3604
87,552,6,241.08,28,6,38.7897,-93.8702,2368,47,92,1335,38.291139,-93.380603,1,30,1,2019,22,22,1989,30,69.9034
88,369,7,19.77,28,6,38.7897,-93.8702,2368,47,92,871,39.470802,-93.140293,1,30,1,2019,22,46,1989,30,98.4856
89,376,0,540.67,28,6,38.7897,-93.8702,2368,47,92,483,39.287665,-94.091537,1,30,1,2019,23,17,1989,30,58.5781
90,277,12,868.34,28,6,38.7897,-93.8702,2368,47,92,8723,37.89086,-93.584179,1,31,1,2019,0,38,1989,30,103.0122
91,572,4,291.92,162,2,38.3847,-121.9887,99475,27,144,12953,38.308291,-121.577277,1,31,1,2019,2,9,1970,49,36.8713
92,316,4,290.2,28,6,38.7897,-93.8702,2368,47,92,11471,38.507573,-93.024078,1,31,1,2019,2,17,1989,30,79.8953
93,426,8,820.25,162,2,38.3847,-121.9887,99475,27,144,6058,38.391948,-121.021048,1,31,1,2019,17,25,1970,49,84.3409
94,304,11,1084.55,162,2,38.3847,-121.9887,99475,27,144,11348,38.962408,-121.301792,1,31,1,2019,22,7,1970,49,87.6493
95,450,0,424.38,28,6,38.7897,-93.8702,2368,47,92,681,39.081379,-93.845355,1,31,1,2019,22,45,1989,30,32.5043
96,0,0,474.24,28,6,38.7897,-93.8702,2368,47,92,3338,38.219676,-92.956091,1,31,1,2019,23,0,1989,30,101.707
97,126,7,20.21,28,6,38.7897,-93.8702,2368,47,92,7723,38.527335,-94.342242,1,31,1,2019,23,26,1989,30,50.3097
98,626,9,8.57,162,2,38.3847,-121.9887,99475,27,144,13262,37.871215,-122.115239,1,31,1,2019,23,34,1970,49,58.1598
99,47,2,9.17,162,2,38.3847,-121.9887,99475,27,144,13407,38.790493,-121.925421,1,1,2,2019,1,14,1970,49,45.4561
100,146,4,259.96,162,2,38.3847,-121.9887,99475,27,144,9921,38.608995,-121.863386,1,1,2,2019,3,7,1970,49,27.2205
101,220,10,19.83,162,2,38.3847,-121.9887,99475,27,144,2422,38.553685,-121.53418,1,1,2,2019,23,54,1970,49,43.8049
102,328,4,304.08,78,9,45.3304,-118.0852,16955,58,82,66,44.559052,-117.642777,1,7,2,2019,6,11,1961,58,92.568
103,421,11,1105.42,78,9,45.3304,-118.0852,16955,58,82,10337,45.594707,-117.573818,1,7,2,2019,16,14,1961,58,49.5412
104,468,4,257.63,78,9,45.3304,-118.0852,16955,58,82,13538,46.026023,-117.409519,1,7,2,2019,22,16,1961,58,93.4797
105,510,11,942.0,78,9,45.3304,-118.0852,16955,58,82,9385,44.4009,-118.984081,1,7,2,2019,22,17,1961,58,125.3014
106,523,8,768.0,78,9,45.3304,-118.0852,16955,58,82,12350,45.224147,-118.552234,1,7,2,2019,23,17,1961,58,38.4056
107,572,4,309.02,126,2,38.046,-122.1866,198,9,180,11326,37.964672,-122.708937,1,7,2,2019,23,17,1959,60,46.6502
108,306,13,9.9,97,6,39.7795,-93.3014,964,157,132,651,39.169089,-93.078902,1,7,2,2019,23,24,1974,45,70.5101
109,367,11,935.13,78,9,45.3304,-118.0852,16955,58,82,13965,45.543601,-118.293693,1,7,2,2019,23,31,1961,58,28.7515
110,304,11,1096.03,78,9,45.3304,-118.0852,16955,58,82,7277,46.306316,-118.697593,1,7,2,2019,23,44,1961,58,118.4395
111,535,8,719.82,97,6,39.7795,-93.3014,964,157,132,6259,39.951004,-92.359492,1,7,2,2019,23,50,1974,45,82.6206
112,691,2,6.79,97,6,39.7795,-93.3014,964,157,132,6614,39.96651,-93.322742,1,8,2,2019,0,26,1974,45,20.8742
113,550,4,290.65,97,6,39.7795,-93.3014,964,157,132,5499,39.079825,-93.78391,1,8,2,2019,0,38,1974,45,88.1489
114,103,2,9.91,78,9,45.3304,-118.0852,16955,58,82,6345,44.945349,-118.11122,1,8,2,2019,1,52,1961,58,42.8643
115,20,4,311.48,126,2,38.046,-122.1866,198,9,180,7307,38.154261,-123.162765,1,8,2,2019,3,4,1959,60,86.2611
116,272,2,9.13,97,6,39.7795,-93.3014,964,157,132,13015,40.418609,-93.548774,1,8,2,2019,5,18,1974,45,74.115
117,309,4,257.47,78,9,45.3304,-118.0852,16955,58,82,588,44.57571,-117.80987,1,8,2,2019,7,8,1961,58,86.6693
118,555,11,880.19,126,2,38.046,-122.1866,198,9,180,13475,38.471698,-122.846694,1,8,2,2019,13,29,1959,60,74.581
119,36,8,696.29,97,6,39.7795,-93.3014,964,157,132,5285,39.868586,-92.549576,1,8,2,2019,22,12,1974,45,64.9648
120,101,12,957.09,78,9,45.3304,-118.0852,16955,58,82,11986,46.157676,-117.699328,1,8,2,2019,22,45,1961,58,96.7393
121,630,11,1016.26,78,9,45.3304,-118.0852,16955,58,82,12638,44.449987,-118.256304,1,8,2,2019,23,10,1961,58,98.821
122,472,4,289.74,97,6,39.7795,-93.3014,964,157,132,10349,39.515652,-94.123122,1,8,2,2019,23,16,1974,45,76.2262
123,114,10,45.24,126,2,38.046,-122.1866,198,9,180,1532,38.269367,-121.840603,1,8,2,2019,23,29,1959,60,39.1416
124,193,11,900.06,97,6,39.7795,-93.3014,964,157,132,2389,38.864622,-92.568113,1,8,2,2019,23,32,1974,45,119.6972
125,392,11,1140.72,78,9,45.3304,-118.0852,16955,58,82,3438,44.916768,-117.690038,1,8,2,2019,23,37,1961,58,55.4672
126,688,8,786.4,126,2,38.046,-122.1866,198,9,180,11747,38.679519,-121.762099,1,8,2,2019,23,49,1959,60,79.5749
127,359,4,289.12,2,12,44.6873,-104.4414,110,2,81,8763,45.074749,-104.113397,1,11,2,2019,1,36,1973,46,50.239
128,645,4,325.35,2,12,44.6873,-104.4414,110,2,81,12481,45.087558,-104.09532,1,11,2,2019,2,44,1973,46,52.1937
129,468,4,280.64,2,12,44.6873,-104.4414,110,2,81,2479,45.357955,-104.809791,1,11,2,2019,3,45,1973,46,79.9968
130,293,8,828.73,2,12,44.6873,-104.4414,110,2,81,2058,43.826015,-104.239668,1,11,2,2019,22,11,1973,46,97.1086
131,256,11,853.8,2,12,44.6873,-104.4414,110,2,81,3523,44.062324,-103.879906,1,11,2,2019,22,36,1973,46,82.5892
132,316,4,295.85,2,12,44.6873,-104.4414,110,2,81,1040,44.020015,-105.392134,1,12,2,2019,0,1,1973,46,105.9208
133,64,4,348.01,91,9,43.921,-122.7806,1420,143,58,6114,44.202317,-122.900884,1,12,2,2019,1,49,1965,54,32.7242
134,4,3,16.73,91,9,43.921,-122.7806,1420,143,58,2855,43.120671,-123.40541,1,12,2,2019,2,14,1965,54,102.2619
135,472,4,309.35,91,9,43.921,-122.7806,1420,143,58,5856,43.793951,-123.617007,1,12,2,2019,10,30,1965,54,68.5337
136,165,1,123.61,2,12,44.6873,-104.4414,110,2,81,11139,44.845781,-104.414629,1,12,2,2019,16,2,1973,46,17.7486
137,597,8,763.2,91,9,43.921,-122.7806,1420,143,58,9948,43.043863,-122.854471,1,12,2,2019,18,32,1965,54,97.7151
138,560,8,935.83,2,12,44.6873,-104.4414,110,2,81,13023,43.774893,-104.564982,1,12,2,2019,22,9,1973,46,101.9317
139,483,12,912.51,2,12,44.6873,-104.4414,110,2,81,8483,45.219679,-104.676706,1,12,2,2019,22,12,1973,46,62.026
140,574,0,615.49,91,9,43.921,-122.7806,1420,143,58,14055,43.28018,-122.063582,1,12,2,2019,22,12,1965,54,91.7104
141,557,11,1073.84,91,9,43.921,-122.7806,1420,143,58,705,43.10308,-123.429968,1,12,2,2019,23,2,1965,54,104.9461
142,8,11,920.07,91,9,43.921,-122.7806,1420,143,58,5054,43.948308,-122.346761,1,12,2,2019,23,20,1965,54,34.8721
143,560,8,803.95,91,9,43.921,-122.7806,1420,143,58,9886,43.019291,-123.267731,1,12,2,2019,23,23,1965,54,107.6956
144,466,4,362.56,91,9,43.921,-122.7806,1420,143,58,2501,44.328304,-122.658093,1,12,2,2019,23,36,1965,54,46.3337
145,131,12,787.51,91,9,43.921,-122.7806,1420,143,58,3228,43.674503,-123.424749,1,12,2,2019,23,41,1965,54,58.515
146,316,4,297.37,91,9,43.921,-122.7806,1420,143,58,2072,43.834392,-122.19793,1,13,2,2019,0,26,1965,54,47.6844
147,427,4,348.36,91,9,43.921,-122.7806,1420,143,58,9804,43.482349,-123.481414,1,13,2,2019,2,1,1965,54,74.5175
148,20,4,357.5,91,9,43.921,-122.7806,1420,143,58,8257,43.89829,-122.943875,1,13,2,2019,2,18,1965,54,13.3213
149,438,12,833.74,0,8,35.0561,-106.5506,641349,18,133,2937,35.5078,-106.296518,1,13,2,2019,21,34,1967,52,55.2687
150,382,10,20.25,0,8,35.0561,-106.5506,641349,18,133,2164,35.003639,-107.484173,1,13,2,2019,22,0,1967,52,85.2036
151,36,8,801.83,0,8,35.0561,-106.5506,641349,18,133,1062,34.487789,-105.783679,1,13,2,2019,22,5,1967,52,94.3409
152,662,0,695.53,91,9,43.921,-122.7806,1420,143,58,3633,44.603272,-123.012746,1,13,2,2019,22,26,1965,54,78.0849
153,687,11,1156.15,0,8,35.0561,-106.5506,641349,18,133,10889,34.625719,-106.546502,1,13,2,2019,22,28,1967,52,47.8576
154,536,11,995.63,0,8,35.0561,-106.5506,641349,18,133,10398,35.209581,-106.704058,1,13,2,2019,22,41,1967,52,22.0455
155,438,12,875.17,0,8,35.0561,-106.5506,641349,18,133,12794,34.338973,-105.885555,1,13,2,2019,23,8,1967,52,100.2746
156,352,4,321.17,0,8,35.0561,-106.5506,641349,18,133,8481,34.483199,-105.901154,1,13,2,2019,23,10,1967,52,87.0464
157,583,9,51.02,91,9,43.921,-122.7806,1420,143,58,5582,43.691838,-122.921076,1,13,2,2019,23,32,1965,54,27.8638
158,647,8,664.64,0,8,35.0561,-106.5506,641349,18,133,13992,34.374677,-105.780368,1,13,2,2019,23,39,1967,52,103.4274
159,427,4,281.68,0,8,35.0561,-106.5506,641349,18,133,7608,34.071853,-107.032302,1,14,2,2019,0,5,1967,52,117.997
160,444,2,9.72,0,8,35.0561,-106.5506,641349,18,133,10818,34.337435,-106.863773,1,14,2,2019,1,12,1967,52,84.8859
161,572,4,293.68,0,8,35.0561,-106.5506,641349,18,133,8329,34.446637,-106.429048,1,14,2,2019,2,30,1967,52,68.673
162,140,8,749.92,0,8,35.0561,-106.5506,641349,18,133,14143,34.113082,-107.405093,1,14,2,2019,22,30,1967,52,130.8211
163,640,12,871.27,83,8,35.4311,-105.9409,923,121,124,2229,34.839465,-106.569735,1,16,2,2019,22,18,1964,55,87.1648
164,615,9,51.66,83,8,35.4311,-105.9409,923,121,124,22,35.907743,-105.212285,1,16,2,2019,22,50,1964,55,84.5048
165,602,4,340.18,83,8,35.4311,-105.9409,923,121,124,12782,36.14015,-106.119865,1,17,2,2019,12,11,1964,55,80.4784
166,42,12,671.44,83,8,35.4311,-105.9409,923,121,124,2823,36.411315,-105.841668,1,17,2,2019,21,41,1964,55,109.3606
167,65,8,806.03,83,8,35.4311,-105.9409,923,121,124,8864,35.933504,-106.014046,1,17,2,2019,23,19,1964,55,56.2541
168,645,4,298.7,60,7,40.0456,-97.4735,121,136,18,3727,39.94901,-96.703476,1,25,2,2019,0,34,1996,23,66.4667
169,92,2,10.44,60,7,40.0456,-97.4735,121,136,18,14174,41.029483,-98.428136,1,25,2,2019,0,57,1996,23,135.9281
170,352,4,300.27,60,7,40.0456,-97.4735,121,136,18,11157,39.413321,-98.075579,1,25,2,2019,1,4,1996,23,87.1428
171,678,4,299.49,60,7,40.0456,-97.4735,121,136,18,11710,39.785211,-96.60896,1,25,2,2019,1,11,1996,23,79.2136
172,43,2,9.21,60,7,40.0456,-97.4735,121,136,18,12342,39.303936,-96.976292,1,25,2,2019,2,16,1996,23,92.8002
173,309,4,285.81,60,7,40.0456,-97.4735,121,136,18,10437,40.990782,-97.605382,1,25,2,2019,3,42,1996,23,105.689
174,373,7,20.27,60,7,40.0456,-97.4735,121,136,18,8252,39.465551,-98.369363,1,25,2,2019,14,12,1996,23,100.1234
175,105,11,1165.94,60,7,40.0456,-97.4735,121,136,18,1989,39.497113,-96.492329,1,25,2,2019,22,3,1996,23,103.6879
176,372,11,942.93,60,7,40.0456,-97.4735,121,136,18,11100,40.562529,-97.87002,1,25,2,2019,22,4,1996,23,66.5923
177,70,11,1078.92,60,7,40.0456,-97.4735,121,136,18,11786,40.281654,-97.399513,1,25,2,2019,22,25,1996,23,26.9905
178,90,13,9.15,60,7,40.0456,-97.4735,121,136,18,10726,40.972924,-97.091445,1,25,2,2019,23,23,1996,23,108.0538
179,392,11,996.11,60,7,40.0456,-97.4735,121,136,18,13271,40.540097,-96.514041,1,25,2,2019,23,25,1996,23,98.2098
180,560,8,659.33,60,7,40.0456,-97.4735,121,136,18,2134,40.411281,-98.44628,1,25,2,2019,23,38,1996,23,92.0507
181,58,13,9.89,60,7,40.0456,-97.4735,121,136,18,3789,39.236317,-98.195775,1,25,2,2019,23,38,1996,23,109.1905
182,105,11,956.7,60,7,40.0456,-97.4735,121,136,18,11528,40.069524,-98.054297,1,25,2,2019,23,52,1996,23,49.5021
183,351,8,741.78,60,7,40.0456,-97.4735,121,136,18,7060,40.446029,-97.471297,1,25,2,2019,23,53,1996,23,44.5261
184,464,3,10.54,60,7,40.0456,-97.4735,121,136,18,8418,40.078922,-98.097347,1,26,2,2019,0,58,1996,23,53.22
185,570,4,307.7,60,7,40.0456,-97.4735,121,136,18,5236,39.201694,-96.933869,1,26,2,2019,1,32,1996,23,104.602
186,196,4,328.75,60,7,40.0456,-97.4735,121,136,18,5344,40.552089,-96.848354,1,26,2,2019,1,55,1996,23,77.3466
187,407,2,13.17,45,12,43.0048,-108.8964,1645,78,88,1122,43.432352,-108.982476,1,1,3,2019,1,32,1986,33,48.0505
188,119,2,11.74,45,12,43.0048,-108.8964,1645,78,88,10463,42.656763,-109.86824,1,1,3,2019,2,42,1986,33,88.1937
189,366,10,19.16,45,12,43.0048,-108.8964,1645,78,88,12898,42.084862,-109.537321,1,1,3,2019,23,6,1986,33,114.98
190,22,12,830.06,45,12,43.0048,-108.8964,1645,78,88,3302,42.739276,-107.975363,1,2,3,2019,22,10,1986,33,80.6548
191,672,6,261.79,45,12,43.0048,-108.8964,1645,78,88,9065,42.20423,-109.34123,1,2,3,2019,22,10,1986,33,96.176
192,145,0,594.09,45,12,43.0048,-108.8964,1645,78,88,12729,42.468523,-109.687147,1,2,3,2019,23,1,1986,33,87.9
193,642,1,130.08,45,12,43.0048,-108.8964,1645,78,88,3133,42.869714,-108.879962,1,2,3,2019,23,8,1986,33,15.0804
194,477,10,20.41,45,12,43.0048,-108.8964,1645,78,88,2292,42.132393,-109.69482,1,2,3,2019,23,11,1986,33,116.9834
195,45,7,19.23,45,12,43.0048,-108.8964,1645,78,88,1913,42.995377,-109.128294,1,2,3,2019,23,43,1986,33,18.8873
196,434,8,626.15,140,6,38.6171,-90.4504,927396,106,59,14020,37.914098,-90.285022,1,4,3,2019,22,50,1960,59,79.4924
197,403,12,950.42,140,6,38.6171,-90.4504,927396,106,59,7072,38.136074,-91.201963,1,4,3,2019,23,20,1960,59,84.5753
198,96,3,9.95,140,6,38.6171,-90.4504,927396,106,59,8196,37.774315,-90.437294,1,5,3,2019,0,20,1960,59,93.7204
199,175,11,914.49,140,6,38.6171,-90.4504,927396,106,59,756,38.662236,-90.250241,1,5,3,2019,16,30,1960,59,18.0944
200,430,11,1209.7,140,6,38.6171,-90.4504,927396,106,59,13793,38.526279,-90.26912,1,5,3,2019,22,0,1960,59,18.7177
201,537,7,18.69,140,6,38.6171,-90.4504,927396,106,59,9918,38.094351,-89.451882,1,5,3,2019,22,31,1960,59,104.686
